EmployeeID,EmployeeName,StoreID,Role,JoinDateID
1,Employee_1,40,Supervisor,1899
2,Employee_2,193,Supervisor,259
3,Employee_3,110,Manager,1807
4,Employee_4,195,Cashier,2522
5,Employee_5,103,Supervisor,2189
6,Employee_6,200,Cashier,1949
7,Employee_7,12,Cashier,452
8,Employee_8,72,Manager,1297
9,Employee_9,199,Sales Rep,1072
10,Employee_10,116,Manager,547
11,Employee_11,87,Cashier,1565
12,Employee_12,115,Sales Rep,1523
13,Employee_13,142,Cashier,2232
14,Employee_14,173,Sales Rep,584
15,Employee_15,123,Sales Rep,2528
16,Employee_16,27,Manager,1324
17,Employee_17,132,Sales Rep,200
18,Employee_18,138,Cashier,499
19,Employee_19,157,Manager,156
20,Employee_20,168,Cashier,509
21,Employee_21,138,Supervisor,510
22,Employee_22,156,Sales Rep,2044
23,Employee_23,175,Supervisor,1883
24,Employee_24,153,Supervisor,196
25,Employee_25,105,Manager,313
26,Employee_26,81,Sales Rep,1828
27,Employee_27,78,Sales Rep,151
28,Employee_28,100,Supervisor,880
29,Employee_29,16,Supervisor,712
30,Employee_30,175,Sales Rep,1852
31,Employee_31,95,Sales Rep,2480
32,Employee_32,92,Cashier,1595
33,Employee_33,106,Cashier,1351
34,Employee_34,156,Sales Rep,2146
35,Employee_35,170,Sales Rep,1697
36,Employee_36,152,Sales Rep,491
37,Employee_37,63,Supervisor,2247
38,Employee_38,68,Supervisor,880
39,Employee_39,6,Manager,1643
40,Employee_40,49,Manager,183
41,Employee_41,139,Supervisor,1857
42,Employee_42,162,Cashier,2075
43,Employee_43,73,Manager,2299
44,Employee_44,64,Sales Rep,1336
45,Employee_45,131,Sales Rep,349
46,Employee_46,197,Sales Rep,314
47,Employee_47,25,Manager,2406
48,Employee_48,92,Sales Rep,373
49,Employee_49,71,Cashier,1524
50,Employee_50,21,Manager,1547
51,Employee_51,147,Supervisor,682
52,Employee_52,66,Manager,1573
53,Employee_53,157,Manager,515
54,Employee_54,68,Sales Rep,196
55,Employee_55,62,Supervisor,1699
56,Employee_56,190,Sales Rep,199
57,Employee_57,177,Cashier,2313
58,Employee_58,7,Manager,1709
59,Employee_59,123,Sales Rep,817
60,Employee_60,2,Cashier,1475
61,Employee_61,144,Supervisor,15
62,Employee_62,17,Sales Rep,830
63,Employee_63,82,Sales Rep,1233
64,Employee_64,179,Supervisor,2542
65,Employee_65,68,Cashier,1597
66,Employee_66,157,Cashier,894
67,Employee_67,181,Supervisor,1211
68,Employee_68,129,Sales Rep,2475
69,Employee_69,7,Supervisor,1522
70,Employee_70,83,Cashier,612
71,Employee_71,127,Sales Rep,1580
72,Employee_72,150,Sales Rep,1523
73,Employee_73,4,Cashier,323
74,Employee_74,123,Supervisor,837
75,Employee_75,45,Sales Rep,2128
76,Employee_76,21,Supervisor,1177
77,Employee_77,72,Sales Rep,2398
78,Employee_78,13,Sales Rep,1467
79,Employee_79,152,Cashier,277
80,Employee_80,90,Sales Rep,767
81,Employee_81,25,Supervisor,1586
82,Employee_82,61,Sales Rep,507
83,Employee_83,40,Manager,2149
84,Employee_84,4,Cashier,361
85,Employee_85,80,Cashier,1036
86,Employee_86,112,Manager,1774
87,Employee_87,59,Manager,1484
88,Employee_88,119,Cashier,1763
89,Employee_89,13,Supervisor,411
90,Employee_90,144,Supervisor,2355
91,Employee_91,23,Sales Rep,927
92,Employee_92,100,Cashier,85
93,Employee_93,44,Manager,261
94,Employee_94,27,Manager,551
95,Employee_95,93,Manager,2334
96,Employee_96,110,Supervisor,899
97,Employee_97,21,Supervisor,1156
98,Employee_98,165,Supervisor,1302
99,Employee_99,97,Manager,1514
100,Employee_100,117,Sales Rep,189
101,Employee_101,103,Supervisor,555
102,Employee_102,131,Manager,899
103,Employee_103,87,Cashier,283
104,Employee_104,62,Manager,2082
105,Employee_105,49,Sales Rep,2181
106,Employee_106,185,Manager,133
107,Employee_107,117,Manager,1498
108,Employee_108,22,Sales Rep,2314
109,Employee_109,32,Supervisor,1095
110,Employee_110,162,Cashier,1021
111,Employee_111,192,Supervisor,2280
112,Employee_112,36,Sales Rep,1893
113,Employee_113,104,Cashier,2203
114,Employee_114,60,Supervisor,2129
115,Employee_115,83,Cashier,64
116,Employee_116,123,Manager,2223
117,Employee_117,65,Sales Rep,1202
118,Employee_118,91,Manager,2461
119,Employee_119,24,Supervisor,139
120,Employee_120,12,Supervisor,1363
121,Employee_121,161,Sales Rep,1614
122,Employee_122,49,Manager,963
