PromoID,ProductID,StoreID,StartDateID,EndDateID,DiscountPercent
1,384,74,2220,240,21.35
2,65,104,119,782,32.98
3,8,31,624,1546,7.67
4,113,118,1493,2156,22.51
5,494,3,802,1483,25.95
6,471,12,1497,63,33.12
7,496,185,2387,1498,35.37
8,417,102,2475,27,11.91
9,51,111,2178,2148,5.55
10,83,182,1993,574,9.0
11,115,174,1273,672,5.71
12,312,165,1147,1883,29.56
13,197,49,1363,650,11.73
14,292,72,2036,1565,11.02
15,237,196,1263,207,38.59
16,257,11,1029,1247,6.04
17,131,198,1137,110,36.55
18,72,83,923,1724,39.58
19,312,192,2147,307,22.59
20,119,99,1636,726,30.53
21,305,54,64,1681,7.95
22,378,53,790,1889,39.34
23,29,59,2018,317,21.63
24,285,111,816,1630,26.36
25,262,7,627,926,34.02
26,235,126,1650,1893,22.24
27,326,60,2010,89,32.85
28,302,54,1405,2101,20.23
29,128,70,524,2460,32.75
30,393,166,1409,2386,6.29
31,91,169,1936,1246,29.0
32,132,166,1479,1799,19.81
33,395,169,880,958,28.93
34,274,121,1293,2464,38.77
35,34,138,2389,406,30.19
36,460,42,30,393,17.83
37,491,168,1463,1007,9.78
38,119,147,435,1826,26.14
39,157,146,339,1416,8.16
40,150,148,1311,1281,17.03
41,104,163,473,2297,11.12
42,100,87,2101,1664,33.32
43,43,84,362,2294,33.38
44,59,193,1296,1597,5.45
45,480,154,1461,1894,21.19
46,152,126,1752,389,13.08
47,83,168,380,2313,36.47
48,443,37,1189,997,32.13
49,176,188,1767,2367,7.4
50,302,18,488,1954,14.81
51,288,148,2046,765,11.06
52,453,91,2513,2042,30.99
53,259,144,107,346,17.71
54,311,28,139,2437,5.63
55,208,192,1971,216,9.58
56,133,15,369,1658,14.03
57,323,24,1533,1912,15.43
58,491,53,1666,537,14.35
59,309,28,893,533,35.06
60,29,75,1647,1472,7.8
61,30,147,1211,1527,8.59
62,405,197,347,2538,39.03
63,432,46,2046,2162,5.24
64,353,47,578,636,32.56
65,238,53,359,2334,19.09
66,186,11,919,79,20.99
67,453,65,500,51,36.33
68,387,113,2450,11,19.12
69,350,112,1490,841,33.03
70,425,139,1403,1422,19.7
71,92,188,1423,2466,7.6
72,226,84,2288,402,31.96
73,289,126,949,169,14.92
74,27,126,739,1349,39.34
75,240,56,736,79,13.05
76,414,90,756,1751,34.54
77,452,193,1261,1012,12.64
78,166,182,630,1663,13.04
79,137,17,1550,2030,39.62
80,351,20,2144,44,5.71
81,370,21,1683,2392,31.37
82,396,74,2094,2463,30.81
83,71,119,657,719,8.41
84,420,41,1954,1233,21.97
85,422,31,1626,1358,13.55
86,359,159,1462,745,29.16
87,156,100,924,1741,12.87
88,133,66,1797,2288,30.51
89,389,122,1344,1409,6.94
90,157,52,2199,126,10.17
91,56,13,1889,2332,35.81
92,353,189,1306,959,25.61
93,320,172,582,1266,33.06
94,431,101,2379,338,13.27
95,270,137,2124,2141,9.48
96,197,80,2035,172,38.82
97,432,157,2359,181,32.71
98,372,122,978,2074,29.2
99,34,26,557,806,31.59
100,107,17,551,2403,5.22
101,324,67,970,808,12.13
102,464,100,1448,2556,30.06
103,380,11,826,1816,30.18
104,43,136,887,1784,31.29
105,332,49,692,1316,9.3
106,347,86,756,190,11.87
107,247,108,269,2205,39.57
108,85,30,1371,1824,11.08
109,243,125,2286,110,26.46
110,456,68,1634,1555,34.25
111,269,1,2119,517,11.32
112,350,102,1359,202,13.31
113,394,152,1613,324,35.31
114,49,148,704,712,34.7
115,307,159,1619,2023,10.65
116,41,62,2472,973,30.68
117,138,191,1444,557,6.19
118,205,180,207,79,36.55
119,335,129,1675,1244,34.11
120,160,1,603,741,15.08
121,222,149,1683,2314,34.13
122,412,123,1330,2299,33.8
123,392,110,2254,2348,14.82
124,111,57,1790,2516,37.75
125,416,86,2238,283,27.41
126,325,161,2349,627,32.51
127,51,51,1846,2318,25.0
128,81,81,1435,726,36.81
129,406,82,1437,1790,33.82
130,330,134,2118,857,19.44
131,292,140,1326,944,13.69
132,31,13,2531,2029,22.33
133,407,44,1909,548,36.96
134,144,177,2110,1565,37.05
135,467,25,1723,1680,36.64
136,250,93,512,1519,20.19
137,212,77,801,2112,19.35
138,302,81,1060,811,25.47
139,407,101,654,1332,12.5
140,91,40,77,1590,32.86
141,456,101,1559,1086,32.81
142,387,16,503,465,11.88
143,407,127,1791,1668,37.54
144,181,46,1092,2438,18.23
145,98,157,1605,695,24.58
146,335,198,967,1660,30.36
147,189,156,536,2321,21.63
148,314,10,1245,688,39.08
149,83,155,1856,2250,24.55
150,421,185,2392,1046,5.44
151,475,44,817,753,31.0
152,24,38,1341,635,14.69
153,249,193,812,1302,34.97
154,162,122,1441,2236,15.17
155,105,8,2190,919,11.08
156,64,162,1357,129,6.67
157,322,84,2539,2199,35.67
158,385,127,1784,2241,25.94
159,213,170,1534,1183,34.71
160,418,112,1725,65,19.65
161,123,18,1522,791,9.62
162,16,113,2033,961,34.42
163,142,180,1681,692,7.56
164,9,37,1324,1776,39.86
165,258,95,1555,359,27.22
166,5,41,533,1766,34.13
167,64,79,675,612,35.17
168,442,170,562,1827,27.09
169,35,77,629,2076,6.26
170,381,22,278,1439,8.72
171,215,113,163,1847,6.82
172,301,59,747,1362,14.47
173,70,198,1094,65,9.13
174,46,119,1104,185,14.54
175,282,89,1596,1457,28.75
176,65,20,2208,1776,24.86
177,204,144,1911,924,25.17
178,256,111,133,50,34.0
179,307,137,765,1351,27.08
180,373,19,2551,1714,18.88
181,398,90,949,101,10.75
182,268,16,652,680,11.35
183,319,161,2088,475,35.53
184,371,80,2078,1499,39.14
185,270,169,2554,1039,32.48
186,192,65,1965,22,11.52
187,202,78,2470,1003,27.03
188,9,182,421,640,35.49
189,416,62,1400,1976,23.37
190,123,103,2184,671,38.21
191,253,108,646,2087,16.57
192,147,115,196,723,17.35
193,154,119,1706,975,9.59
194,214,52,442,1344,13.14
195,61,182,817,46,35.27
196,94,133,2287,44,15.69
197,245,9,1575,2411,37.82
198,375,75,762,1931,12.24
199,74,54,2482,1246,21.01
200,129,174,58,1992,11.27
201,127,144,666,893,37.24
202,449,171,675,1580,12.86
203,493,87,30,1461,31.89
204,195,87,2409,871,29.43
205,322,176,879,92,36.49
206,264,26,1146,838,35.52
207,211,34,1054,2099,20.42
208,29,20,865,205,37.19
209,87,89,1538,210,28.86
210,94,26,288,966,24.78
211,69,136,127,246,19.7
212,128,183,2176,1521,19.3
213,179,105,960,477,10.02
214,434,64,1197,919,24.43
215,67,95,34,678,35.36
216,492,126,1254,40,13.18
217,492,80,2156,1233,13.71
218,166,11,2075,1472,8.17
219,253,166,900,1059,32.21
220,291,138,2549,320,23.55
221,34,54,2083,426,15.81
222,361,162,2283,943,29.44
223,130,142,121,2510,25.87
224,471,87,2059,1648,17.15
225,168,165,1642,1445,9.99
226,197,73,724,832,34.91
227,352,91,608,1568,33.17
228,234,128,363,15,22.68
229,329,43,1843,846,20.56
230,294,53,2478,1921,28.28
231,164,4,2197,1363,22.43
232,235,110,2186,1168,17.16
233,106,125,1272,104,5.28
234,454,71,1092,354,22.28
235,107,2,753,222,7.61
236,31,96,1322,2028,25.04
237,374,108,477,1584,36.17
238,245,88,156,1146,30.81
239,16,36,2304,1469,6.72
240,417,38,816,1547,17.63
241,454,195,634,482,15.2
242,2,8,438,1830,19.24
243,330,157,1228,2415,23.53
244,5,133,1045,1707,27.47
245,212,47,1390,967,26.45
246,481,70,678,302,16.07
247,77,180,1709,1279,30.03
248,249,169,794,28,19.7
249,394,23,869,2491,29.12
250,396,198,1331,108,13.58
251,230,97,2151,267,8.67
252,290,68,1927,1635,25.6
253,46,176,2499,1580,32.59
254,253,75,1263,1525,36.15
255,354,176,892,1053,27.74
256,231,64,2468,805,37.08
257,77,108,2385,605,32.64
258,442,193,720,618,20.4
259,233,178,850,1295,21.73
260,99,15,424,481,30.95
261,416,48,727,2357,6.53
262,161,186,2489,2492,7.0
263,191,55,1610,170,16.39
264,26,98,133,1109,22.22
265,458,117,2033,1719,29.89
266,153,163,481,2334,20.96
267,113,193,784,1454,18.14
268,460,82,1443,2001,23.43
269,430,66,1478,2127,13.86
270,433,45,469,1088,30.04
