ReturnID,SalesID,ReturnDateID,ReturnReason,RefundAmount
1,325736,697,Damaged,7198.58
2,899888,1662,Not Needed,1516.29
3,474684,808,Not Needed,1339.94
4,183207,500,Others,4654.23
5,106072,156,Wrong Item,1342.3
6,102322,2030,Not Needed,16677.69
7,616520,125,Wrong Item,1566.27
8,54942,1113,Not Needed,16899.03
9,207488,1840,Damaged,8477.45
10,225397,1987,Late Delivery,4865.25
11,541658,1457,Damaged,8603.29
12,783151,142,Wrong Item,4926.68
13,986619,631,Wrong Item,6407.39
14,797465,2155,Wrong Item,1465.06
15,877864,237,Damaged,1543.15
16,696211,2448,Not Needed,24677.7
17,203150,2320,Others,4184.91
18,989839,1355,Damaged,3024.84
19,208929,2314,Damaged,1668.14
20,479068,2109,Damaged,6956.48
21,551234,2515,Damaged,787.86
22,412499,194,Others,3920.24
23,762197,2321,Late Delivery,11790.27
24,60742,177,Wrong Item,652.12
25,720648,299,Not Needed,6094.45
26,338498,395,Wrong Item,3391.25
27,990752,1874,Wrong Item,186.82
28,457916,194,Late Delivery,3008.04
29,48232,1732,Not Needed,5156.16
30,35915,1868,Not Needed,10126.64
31,908115,623,Others,13855.74
32,595507,2416,Wrong Item,2608.96
33,998719,1765,Not Needed,840.14
34,46024,1703,Wrong Item,13828.8
35,278894,1714,Late Delivery,9622.83
36,262981,1464,Late Delivery,12626.45
37,351033,1606,Others,1203.16
38,912711,978,Late Delivery,1214.38
39,969027,1736,Others,3363.43
40,118987,2271,Damaged,4818.06
41,200765,2496,Not Needed,11586.22
42,701384,798,Late Delivery,17856.68
43,532240,445,Late Delivery,6294.14
44,99193,1029,Not Needed,7005.15
45,421505,229,Late Delivery,1363.14
46,202601,2504,Others,7385.09
47,457524,1736,Wrong Item,5813.73
48,305339,834,Others,21599.13
49,221827,200,Wrong Item,8429.89
50,424292,1536,Damaged,3163.81
51,104686,1432,Late Delivery,10094.68
52,484980,1455,Damaged,36632.73
53,812837,2161,Late Delivery,35601.93
54,686252,738,Wrong Item,6015.74
55,463295,234,Late Delivery,1857.37
56,720438,676,Not Needed,5443.28
57,128079,1300,Damaged,16332.53
58,589853,1899,Not Needed,1281.93
59,49144,147,Late Delivery,10810.77
60,775414,2232,Late Delivery,14238.02
61,795741,2273,Others,6343.57
62,15078,455,Late Delivery,3793.11
63,142329,963,Wrong Item,9723.91
64,313566,2079,Not Needed,1598.1
65,643298,1425,Wrong Item,7674.33
66,436501,515,Late Delivery,13220.97
67,543128,143,Late Delivery,3452.75
68,226443,1604,Damaged,1777.4
69,736485,1648,Others,11057.83
70,698235,2372,Late Delivery,27447.8
